Bureau,Publicatiedatum,PVV,GL/PvdA,VVD,NSC,D66,BBB,CDA,SP,Denk,PvdD,FvD,SGP,CU,Volt,JA21,50PLUS,Start veldwerk,Eind veldwerk,Link,Opmerking
Ipsos I&O,2025-03-19,19.2,16.9,15.5,1.7,7.2,2.3,11.2,4.3,3.1,4.3,2.4,2.2,2.6,2.3,2.7,,2025-03-14,2025-03-17,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-voorzichtig-herstel-midden-bij-geopolitieke-crisis/,
Verian/1V,2025-02-25,21.9,17.4,15.3,1.7,8.4,2.6,9.5,5.6,2.5,3.4,1.7,2.9,2.9,2.8,1.5,,2025-02-21,2025-02-24,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/pvv-zakt-in-zetelpeiling-achterban-van-geert-wilders-heeft-minder-vertrouwen-in-kabinet/,
Ipsos I&O,2025-02-20,21.9,15.4,12.6,2.1,6.9,3.8,10.1,5.1,2.2,5.6,2.2,2.4,2.2,3.1,1.9,,2025-02-14,2025-02-17,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-gestaag-dalende-lijn-voor-pvv-en-immigratie/,
Verian/1V,2025-01-29,24.2,15.8,14.4,2.2,7.3,3,10.2,4.5,2.5,3.5,2.7,2.3,2.4,3.5,1.6,,2025-01-24,2025-01-27,https://www.veriangroup.com/nl/news-and-insights/zetelpeiling-januari-2025,
Ipsos I&O,2025-01-23,22,15.5,13.4,1.9,8.2,3.8,10.1,4.6,3.2,4.3,2.2,2.4,2.5,2.6,1.7,,2025-01-17,2025-01-20,https://www.ipsos-publiek.nl/actueel/ondanks-lage-tevredenheid-blijft-de-pvv-buiten-schot/,
Verian/1V,2024-12-31,24.3,16.9,15.3,1.8,6.8,3.1,10.4,4,2.8,3.5,2.6,1.7,2.3,3.3,1.3,,2024-12-24,2024-12-28,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/nsc-op-2-zetels-concurrent-cda-stijgt-naar-16-in-laatste-zetelpeiling-van-2024/,
Ipsos I&O,2024-12-12,23.2,14.2,14.1,2.1,8.7,3.3,8.7,4.5,2.5,4.9,2.1,2.1,2.3,2.8,1.5,,2024-12-06,2024-12-09,https://www.ipsos-publiek.nl/actueel/coalitiepartijen-houden-stand-ondanks-onvrede-en-opmars-cda/,
Verian/1V,2024-11-27,26.5,16.9,14.4,2.2,7.1,3.8,8.5,4.5,2.1,3.5,2.4,2.2,3,2,0.9,,2024-11-22,2024-11-25,https://www.veriangroup.com/nl/news-and-insights/zetelpeiling-november-2024,
Ipsos I&O,2024-11-13,23.7,16.2,13.9,2.3,7.6,3.7,7.3,5.2,2.7,4.8,2.3,2.2,2.4,2.2,0.8,,2024-11-09,2024-11-11,https://www.ipsos-publiek.nl/actueel/ontevreden-maar-honkvaste-kiezers-op-rechts-en-links/,
Verian/1V,2024-10-30,25.6,15.5,14.7,2.8,6.9,4.6,7.8,3.9,3.1,5,2.2,2.2,2.8,2.1,1,,2024-10-25,2024-10-28,https://www.veriangroup.com/nl/news-and-insights/zetelpeiling-oktober-2024,
Ipsos I&O,2024-10-23,24.8,16.7,13.5,2.7,7.3,3.6,7.1,4.8,2.4,5.2,2.9,2.1,2.9,2.6,1.4,,2024-10-18,2024-10-21,https://www.ipsos-publiek.nl/actueel/zetelpeiling-ipsos-io-tevredenheid-kabinet-schoof-flink-gedaald/,
Ipsos I&O,2024-09-27,25.9,16.1,11.8,3.8,6.9,3.8,7.4,3.8,2.6,5,3,2.3,2.5,3.4,1.4,,2024-09-20,2024-09-23,https://www.ipsos-publiek.nl/actueel/immigratie-blijft-electorale-verhoudingen-bepalen-ten-faveure-van-de-pvv/,
Verian/1V,2024-09-24,26.7,17.5,15,2,5.9,4.9,7,4.1,2.2,3.6,2.6,2.1,2.8,2.8,0.8,,2024-09-20,2024-09-23,https://www.veriangroup.com/nl/insights/zetelpeiling-september,
Ipsos I&O,2024-09-17,27,15.7,13.2,4.4,7.4,3.8,6.2,4.4,2.1,4.3,3.1,1.8,2.8,3,0.7,,2024-09-13,2024-09-16,https://www.ipsos-publiek.nl/actueel/afnemend-enthousiasme-kabinet-schoof-nog-geen-electorale-consequenties/,
Verian/1V,2024-08-27,24.9,17.5,15,5.9,7.3,3.8,5.6,4.4,2.8,3,2.2,2.2,2.3,2.5,0.5,,2024-08-23,2024-08-26,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/coalitie-op-77-zetels-in-nieuwe-zetelpeiling-verlies-komt-vooral-door-teleurstelling-in-nsc/,
Ipsos/1V,2024-07-30,25.8,17.3,13.4,7.3,6.5,5.2,5.7,2.2,2.7,3.6,2.3,2.2,1.8,2.2,0.8,,2024-07-26,2024-07-29,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/pvv-daalt-verder-in-zetelpeiling-na-installatie-van-het-nieuwe-kabinet-cda-wint/,
Ipsos/1V,2024-06-25,27.7,17.3,13.1,7.7,7.8,3.8,4.4,2.5,2.3,3.2,2.3,2.3,1.8,1.9,1.2,,2024-06-23,2024-06-25,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/pvv-verliest-in-nieuwe-zetelpeiling-na-bekendmaking-ministers-groenlinks-pvda-in-de-plus/,
I&O Research,2024-06-18,27.3,17.6,12,4.6,7.4,4.8,6.3,3.2,1.9,4.5,2,2.6,2.5,2.7,0.6,,2024-06-14,2024-06-17,https://www.ipsos-publiek.nl/actueel/enthousiasme-over-nieuw-kabinet-afgenomen/,
Ipsos/1V,2024-05-28,30.5,15.2,12.1,7.2,6.8,5,4.1,2.4,2.4,4.2,2.4,2.2,1.9,2,0.9,,2024-05-24,2024-05-27,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/pvv-wint-na-hoofdlijnenakkoord-in-zetelpeiling-geen-effect-bij-andere-partijen/,
I&O Research,2024-05-15,30,16.7,11.8,5.1,6.4,4.1,4.9,3.6,1.8,3.7,2.5,2.6,2.6,3.1,0.8,,2024-05-09,2024-05-12,https://www.ioresearch.nl/actueel/weinig-vertrouwen-in-welslagen-formatie/,
Ipsos/1V,2024-04-30,28.7,14.7,12.7,7.4,6.9,5.5,3.6,2.9,2.8,3.6,2.8,2.8,1.9,1.6,1.2,,2024-04-26,2024-04-29,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/als-formatie-klapt-moeten-er-volgens-kiezers-nieuwe-verkiezingen-komen-pvv-op-verlies-in-zetelpeiling/,
Ipsos/1V,2024-03-26,31.1,15.6,12.6,7,6.6,4.2,4.1,2.8,2.3,3.1,2.3,2.1,2.3,1.7,1.3,,2024-03-24,2024-03-27,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/kiezers-formerende-partijen-oneens-over-financien-nsc-weet-verloren-stemmers-niet-terug-te-halen-in-nieuwe-zetelpeiling/,
Ipsos/1V,2024-02-27,31.1,15.9,12.4,7,7,5.4,4.3,2.2,3.1,2.9,2.1,2.4,1.5,1.1,0.8,,2024-02-23,2024-02-26,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/nsc-met-11-zetels-op-dieptepunt-in-zetelpeiling-kiezers-willen-dat-omtzigt-alsnog-meewerkt-aan-rechtse-coalitie/,
I&O Research,2024-02-13,31,16.5,11.1,6.3,6.3,4.5,4.5,3.2,1.8,3.2,2.2,2.6,2.5,3,0.7,,2024-02-09,2024-02-12,https://www.ioresearch.nl/actueel/io-zetelpeiling-nsc-halveert-door-opstelling-in-formatie-pvv-profiteert/,
Ipsos/1V,2024-01-31,28.4,16,12.2,11.9,6.9,4.2,3.4,2.4,2.5,3,2.1,2.2,1.7,1.7,0.9,,2024-01-28,2024-01-30,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/helft-vindt-dat-formatie-te-traag-gaat-pvv-blijft-ondertussen-met-afstand-grootste-partij-in-zetelpeiling/,
Ipsos/1V,2023-12-21,29.8,13.8,11.5,12.4,6.1,5.1,2.6,2.5,3.1,3.3,1.9,2.3,1.9,1.8,0.6,,2023-12-15,2023-12-18,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/pvv-stijgt-verder-door-naar-historische-47-zetels-in-nieuwe-zetelpeiling-vvd-hard-onderuit/,
I&O Research,2023-12-14,27.4,14.6,10.4,12.5,6.6,5.5,3.4,3.6,1.8,3.3,2.2,2.3,2.2,2.9,0.6,,2023-12-08,2023-12-11,https://www.ioresearch.nl/actueel/io-zetelpeiling-groei-pvv-zet-door/,
