Bureau,Publicatiedatum,PVV,GL/PvdA,VVD,NSC,D66,BBB,CDA,SP,Denk,PvdD,FvD,SGP,CU,Volt,JA21,50PLUS,Start veldwerk,Eind veldwerk,Link
Verian/1V,2025-07-29,30,29,23,1,10,2,23,7,2,4,4,3,3,2,7,,2025-07-25,2025-07-28,https://www.veriangroup.com/nl/news-and-insights/zetelpeiling-juli-2025
Verian/1V,2025-06-24,32,26,26,1,8,3,20,5,3,4,3,3,3,4,9,,2025-06-20,2025-06-23,https://www.veriangroup.com/nl/news-and-insights/zetelpeiling-juni-2025
Ipsos I&O,2025-06-18,30,29,24,2,11,4,21,5,3,6,3,3,3,3,3,,2025-06-13,2025-06-16,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-cda-vindt-aansluiting-bij-top-3/
Verian/1V,2025-06-10,33,25,26,1,10,3,20,6,4,5,3,3,5,4,2,,2025-06-06,2025-06-10,https://eenvandaag.avrotros.nl/opiniepanel/uitslagen/pvv-na-kabinetsval-weer-grootste-in-zetelpeiling-kiezers-weinig-onder-de-indruk-van-uitsluiten-door-vvd-160472
Ipsos I&O,2025-06-06,30,26,23,2,12,4,18,5,3,8,5,4,3,3,4,,2025-06-05,2025-06-06,https://www.ipsos-publiek.nl/actueel/pvv-lijdt-niet-onder-kabinetsval-kloof-verdiept-zich/
Verian/1V,2025-05-27,28,28,30,2,10,2,18,8,4,5,3,3,3,3,3,,2025-05-23,2025-05-26,https://www.veriangroup.com/nl/news-and-insights/zetelpeiling-mei-2025
Ipsos I&O,2025-05-15,29,28,26,1,12,4,17,6,4,6,4,3,3,3,4,,2025-05-09,2025-05-12,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-kiezers-delen-enthousiasme-over-voorjaarsnota-niet/
Verian/1V,2025-04-29,29,27,28,1,12,3,18,6,4,5,4,3,5,3,2,,2025-04-25,2025-04-28,https://www.veriangroup.com/nl/news-and-insights/zetelpeiling-april-2025
Ipsos I&O,2025-04-15,28,27,26,2,10,5,18,5,4,7,4,3,3,4,4,,2025-04-11,2025-04-14,https://www.ipsos-publiek.nl/actueel/tevredenheid-met-kabinet-op-laagste-punt-in-tien-jaar/
Verian/1V,2025-03-25,31,27,28,2,10,2,15,8,4,5,4,4,4,4,2,,2025-03-21,2025-03-24,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/pvv-niet-meer-de-grootste-in-zetelpeiling-vvd-en-groenlinks-pvda-bijna-evenveel-zetels/
Ipsos I&O,2025-03-19,30,27,25,2,11,3,18,6,4,7,3,3,4,3,4,,2025-03-14,2025-03-17,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-voorzichtig-herstel-midden-bij-geopolitieke-crisis/
Verian/1V,2025-02-25,34,27,24,2,13,4,14,8,3,5,2,4,4,4,2,,2025-02-21,2025-02-24,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/pvv-zakt-in-zetelpeiling-achterban-van-geert-wilders-heeft-minder-vertrouwen-in-kabinet/
Ipsos I&O,2025-02-20,34,24,20,3,11,4,16,8,3,8,4,4,3,5,3,,2025-02-14,2025-02-17,https://www.ipsos-publiek.nl/actueel/ipsos-io-zetelpeiling-gestaag-dalende-lijn-voor-pvv-en-immigratie/
Verian/1V,2025-01-29,38,24,22,3,11,4,16,7,3,5,4,3,3,5,2,,2025-01-24,2025-01-27,https://www.veriangroup.com/nl/news-and-insights/zetelpeiling-januari-2025
Ipsos I&O,2025-01-23,35,24,21,2,13,6,16,7,5,6,3,3,3,4,2,,2025-01-17,2025-01-20,https://www.ipsos-publiek.nl/actueel/ondanks-lage-tevredenheid-blijft-de-pvv-buiten-schot/
Verian/1V,2024-12-31,38,26,23,2,10,4,16,6,4,5,4,2,3,5,2,,2024-12-24,2024-12-28,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/nsc-op-2-zetels-concurrent-cda-stijgt-naar-16-in-laatste-zetelpeiling-van-2024/
Ipsos I&O,2024-12-12,37,23,22,3,14,5,13,7,4,7,3,3,3,4,2,,2024-12-06,2024-12-09,https://www.ipsos-publiek.nl/actueel/coalitiepartijen-houden-stand-ondanks-onvrede-en-opmars-cda/
Verian/1V,2024-11-27,41,26,22,3,11,5,13,7,3,5,3,3,4,3,1,,2024-11-22,2024-11-25,https://www.veriangroup.com/nl/news-and-insights/zetelpeiling-november-2024
Ipsos I&O,2024-11-13,38,26,22,3,12,5,12,8,4,7,3,3,3,3,1,,2024-11-09,2024-11-11,https://www.ipsos-publiek.nl/actueel/ontevreden-maar-honkvaste-kiezers-op-rechts-en-links/
Verian/1V,2024-10-30,39,24,23,4,10,7,12,6,4,7,3,3,4,3,1,,2024-10-25,2024-10-28,https://www.veriangroup.com/nl/news-and-insights/zetelpeiling-oktober-2024
Ipsos I&O,2024-10-23,38,25,21,4,11,5,11,7,3,8,4,3,4,4,2,,2024-10-18,2024-10-21,https://www.ipsos-publiek.nl/actueel/zetelpeiling-ipsos-io-tevredenheid-kabinet-schoof-flink-gedaald/
Ipsos I&O,2024-09-27,41,25,18,6,10,5,11,5,4,7,4,3,4,5,2,,2024-09-20,2024-09-23,https://www.ipsos-publiek.nl/actueel/immigratie-blijft-electorale-verhoudingen-bepalen-ten-faveure-van-de-pvv/
Verian/1V,2024-09-24,41,27,23,3,9,7,10,6,3,5,4,3,4,4,1,,2024-09-20,2024-09-23,https://www.veriangroup.com/nl/insights/zetelpeiling-september
Ipsos I&O,2024-09-17,42,24,20,7,11,5,10,6,3,6,5,2,4,4,1,,2024-09-13,2024-09-16,https://www.ipsos-publiek.nl/actueel/afnemend-enthousiasme-kabinet-schoof-nog-geen-electorale-consequenties/
Verian/1V,2024-08-27,39,27,23,9,11,6,8,7,4,4,3,3,3,3,0,,2024-08-23,2024-08-26,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/coalitie-op-77-zetels-in-nieuwe-zetelpeiling-verlies-komt-vooral-door-teleurstelling-in-nsc/
Ipsos/1V,2024-07-30,40,27,21,11,10,8,9,3,4,5,3,3,2,3,1,,2024-07-26,2024-07-29,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/pvv-daalt-verder-in-zetelpeiling-na-installatie-van-het-nieuwe-kabinet-cda-wint/
Ipsos/1V,2024-06-25,44,27,20,12,12,6,6,3,3,5,3,3,2,3,1,,2024-06-23,2024-06-25,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/pvv-verliest-in-nieuwe-zetelpeiling-na-bekendmaking-ministers-groenlinks-pvda-in-de-plus/
I&O Research,2024-06-18,42,27,18,7,11,7,9,5,3,7,3,4,3,4,0,,2024-06-14,2024-06-17,https://www.ipsos-publiek.nl/actueel/enthousiasme-over-nieuw-kabinet-afgenomen/
Ipsos/1V,2024-05-28,48,24,19,11,10,7,6,3,3,6,3,3,3,3,1,,2024-05-24,2024-05-27,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/pvv-wint-na-hoofdlijnenakkoord-in-zetelpeiling-geen-effect-bij-andere-partijen/
I&O Research,2024-05-15,47,26,18,8,10,6,7,5,2,5,3,4,4,4,1,,2024-05-09,2024-05-12,https://www.ioresearch.nl/actueel/weinig-vertrouwen-in-welslagen-formatie/
Ipsos/1V,2024-04-30,45,23,20,11,11,8,5,4,4,5,4,4,3,2,1,,2024-04-26,2024-04-29,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/als-formatie-klapt-moeten-er-volgens-kiezers-nieuwe-verkiezingen-komen-pvv-op-verlies-in-zetelpeiling/
Ipsos/1V,2024-03-26,49,24,20,11,10,6,6,4,3,4,3,3,3,2,2,,2024-03-24,2024-03-27,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/kiezers-formerende-partijen-oneens-over-financien-nsc-weet-verloren-stemmers-niet-terug-te-halen-in-nieuwe-zetelpeiling/
Ipsos/1V,2024-02-27,49,25,19,11,11,8,6,3,4,4,3,3,2,1,1,,2024-02-23,2024-02-26,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/nsc-met-11-zetels-op-dieptepunt-in-zetelpeiling-kiezers-willen-dat-omtzigt-alsnog-meewerkt-aan-rechtse-coalitie/
I&O Research,2024-02-13,49,25,17,9,9,7,7,5,2,5,3,4,3,4,1,,2024-02-09,2024-02-12,https://www.ioresearch.nl/actueel/io-zetelpeiling-nsc-halveert-door-opstelling-in-formatie-pvv-profiteert/
Ipsos/1V,2024-01-31,45,25,19,18,11,6,5,3,3,4,3,3,2,2,1,,2024-01-28,2024-01-30,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/helft-vindt-dat-formatie-te-traag-gaat-pvv-blijft-ondertussen-met-afstand-grootste-partij-in-zetelpeiling/
Ipsos/1V,2023-12-21,47,22,18,19,9,8,4,3,4,5,3,3,3,2,0,,2023-12-15,2023-12-18,https://eenvandaag.avrotros.nl/panels/opiniepanel/alle-uitslagen/item/pvv-stijgt-verder-door-naar-historische-47-zetels-in-nieuwe-zetelpeiling-vvd-hard-onderuit/
I&O Research,2023-12-14,43,23,16,20,10,8,5,5,2,5,3,3,3,4,0,,2023-12-08,2023-12-11,https://www.ioresearch.nl/actueel/io-zetelpeiling-groei-pvv-zet-door/
